Probeset	ENTREZ	LocusLink	Symbol	IRIS_Most_Specific	Geneset_Tcell	Geneset_ELVIDGE_HIF1A_TARGETS_DN	Geneset_ccRCC	Geneset_Fuhrman	Geneset_Ascierto	Geneset_IMmotion150	Geneset_Merck18	Geneset_RIG1	Geneset_CM009	Geneset_Adenosine	Geneset_HALLMARK
23157_at	23157	LOC23157	SEPT6	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
989_at	989	LOC989	SEPT7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
23176_at	23176	LOC23176	SEPT8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10801_at	10801	LOC10801	SEPT9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
151011_at	151011	LOC151011	SEPT10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55752_at	55752	LOC55752	SEPT11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
124404_at	124404	LOC124404	SEPT12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
346288_at	346288	LOC346288	SEPT14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
9403_at	9403	LOC9403	SEP15*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
50514_at	50514	LOC50514	DEC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100128108_at	100128108	LOC100128108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100128818_at	100128818	LOC100128818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100130539_at	100130539	LOC100130539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100130872_at	100130872	LOC100130872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100132891_at	100132891	LOC100132891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100134391_at	100134391	LOC100134391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100268168_at	100268168	LOC100268168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100287010_at	100287010	LOC100287010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100287042_at	100287042	LOC100287042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100287098_at	100287098	LOC100287098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100287175_at	100287175	LOC100287175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100287290_at	102724384	LOC102724384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100287413_at	100287413	LOC100287413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100287651_at	100287651	LOC100287651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100287896_at	100287896	LOC100287896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100288152_at	100288152	LOC100288152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100288637_at	100288637	LOC100288637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100288842_at	100288842	LOC100288842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100289283_at	100289283	LOC100289283	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100289455_at	100289455	LOC100289455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100289511_at	100289511	LOC100289511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100293612_at	100293612	LOC100293612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100506082_at	100506082	LOC100506082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100506226_at	101928162	LOC101928162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100506276_at	100506276	LOC100506276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100506289_at	100506289	LOC100506289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100506358_at	100506358	LOC100506358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100506379_at	100506379	LOC100506379	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100506548_at	100506548	LOC100506548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100506797_at	100506797	LOC100506797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100506999_at	100506999	LOC100506999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100507461_at	100507461	LOC100507461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100507472_at	100507472	LOC100507472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100507480_at	100507480	LOC100507480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
